Gene,TCGA.A1.A0SK.01A,TCGA.A1.A0SM.01A,TCGA.A1.A0SO.01A,TCGA.A2.A04P.01A,TCGA.A2.A04Q.01A,TCGA.A2.A04R.01A,TCGA.A2.A0CT.01A,TCGA.A2.A0D0.01A,TCGA.A2.A0D4.01A,TCGA.A2.A0ER.01A,TCGA.A2.A0SV.01A,TCGA.A2.A0SW.01A,TCGA.A2.A0SX.01A,TCGA.A2.A0T0.01A,TCGA.A2.A0T2.01A,TCGA.A2.A0T3.01A,TCGA.A2.A0T4.01A,TCGA.A2.A0YG.01A,TCGA.A2.A0YH.01A,TCGA.A2.A0YM.01A,TCGA.A7.A0CE.01A,TCGA.A7.A0CJ.01A,TCGA.A7.A0DA.01A,TCGA.A7.A13D.01A,TCGA.A7.A13F.01A,TCGA.A8.A06N.01A,TCGA.A8.A06O.01A,TCGA.A8.A06Q.01A,TCGA.A8.A06Z.01A,TCGA.A8.A079.01A,TCGA.A8.A07C.01A,TCGA.A8.A07O.01A,TCGA.A8.A07R.01A,TCGA.A8.A07U.01A,TCGA.A8.A07W.01A,TCGA.A8.A07Z.01A,TCGA.A8.A08G.01A,TCGA.A8.A08I.01A,TCGA.A8.A095.01A,TCGA.A8.A09C.01A,TCGA.A8.A09D.01A,TCGA.A8.A09I.01A,TCGA.A8.A09N.01A,TCGA.A8.A09Q.01A,TCGA.A8.A0A9.01A,TCGA.A8.A0AB.01A,TCGA.AN.A03Y.01A,TCGA.AN.A041.01A,TCGA.AN.A0AJ.01A,TCGA.AN.A0AR.01A,TCGA.AN.A0AS.01A,TCGA.AN.A0FF.01A,TCGA.AN.A0FJ.01A,TCGA.AN.A0FK.01A,TCGA.AN.A0FL.01A,TCGA.AN.A0FX.01A,TCGA.AN.A0FY.01A,TCGA.AN.A0XR.01A,TCGA.AN.A0XU.01A,TCGA.AN.A0XW.01A,TCGA.AO.A0J3.01A,TCGA.AO.A0J6.01A,TCGA.AO.A0J7.01A,TCGA.AO.A0JD.01A,TCGA.AO.A0JI.01A,TCGA.AO.A0JL.01A,TCGA.AO.A0JM.01A,TCGA.AO.A124.01A,TCGA.AO.A129.01A,TCGA.AO.A12B.01A,TCGA.AO.A12F.01A,TCGA.AQ.A04H.01B,TCGA.AR.A0TP.01A,TCGA.AR.A0TQ.01A,TCGA.AR.A0TS.01A,TCGA.AR.A0TT.01A,TCGA.AR.A0TV.01A,TCGA.AR.A0TY.01A,TCGA.AR.A0TZ.01A,TCGA.AR.A1AH.01A,TCGA.AR.A1AJ.01A,TCGA.AR.A1AQ.01A,TCGA.AR.A1AR.01A,TCGA.AR.A1AY.01A,TCGA.B6.A0I2.01A,TCGA.B6.A0RE.01A,TCGA.B6.A0RL.01A,TCGA.B6.A0RT.01A,TCGA.B6.A0RU.01A,TCGA.B6.A0WV.01A,TCGA.B6.A0X5.01A,TCGA.BH.A0AU.01A,TCGA.BH.A0AV.01A,TCGA.BH.A0AY.01A,TCGA.BH.A0B3.01A,TCGA.BH.A0B5.01A,TCGA.BH.A0B9.01A,TCGA.BH.A0BD.01A,TCGA.BH.A0BF.01A,TCGA.BH.A0BG.01A,TCGA.BH.A0BL.01A,TCGA.BH.A0BZ.01A,TCGA.BH.A0C0.01A,TCGA.BH.A0C3.01A,TCGA.BH.A0C7.01B,TCGA.BH.A0DD.01A,TCGA.BH.A0E0.01A,TCGA.BH.A0E6.01A,TCGA.BH.A0H0.01A,TCGA.BH.A0HU.01A,TCGA.BH.A0HW.01A,TCGA.BH.A0RX.01A,TCGA.BH.A0W3.01A,TCGA.BH.A0WA.01A,TCGA.BH.A18F.01A,TCGA.BH.A18J.01A,TCGA.BH.A18L.01A,TCGA.BH.A18V.01A,TCGA.BH.A1EW.01A,TCGA.BH.A1F0.01A,TCGA.C8.A12K.01A,TCGA.C8.A12M.01A,TCGA.C8.A12U.01A,TCGA.C8.A12V.01A,TCGA.C8.A12X.01A,TCGA.C8.A131.01A,TCGA.C8.A1HL.01A,TCGA.C8.A1HM.01A,TCGA.D8.A142.01A,TCGA.D8.A147.01A,TCGA.E2.A107.01A,TCGA.E2.A109.01A,TCGA.E2.A10C.01A,TCGA.E2.A14N.01A,TCGA.E2.A14O.01A,TCGA.E2.A14S.01A,TCGA.E2.A14W.01A,TCGA.E2.A14X.01A,TCGA.E2.A14Y.01A,TCGA.E2.A158.01A,TCGA.E2.A15A.01A,TCGA.E2.A15A.06A,TCGA.E2.A15K.06A,TCGA.E2.A15M.01A,TCGA.E2.A1B5.01A
NAT1,-6.1033,0.354,-3.4621,-3.7336,-3.8098,1.3821,2.5873,-3.9872,1.3248,-1.6487,1.3981,1.251,-3.5754,-3.4587,-4.4141,-1.4775,1.7888,2.2076,1.5349,-4.4253,-3.5156,0.1076,-3.3464,-3.8258,1.4686,-3.7098,1.0761,2.0238,2.3691,1.4447,-3.7106,-4.3372,-3.7321,-3.8759,-2.594,1.9057,-1.9751,-1.3979,2.9687,1.8587,-0.7104,1.9942,0.9907,-2.5229,2.0522,1.9981,2.6156,0.8556,-1.2298,-4.7879,-3.4801,2.1022,-4.9977,2.5621,-3.4063,-4.2074,-2.9714,0.6437,-2.9953,2.1918,-1.416,-3.0828,2.3949,1.8865,2.2671,-3.7921,0.8929,-3.6966,-3.7924,-1.1157,-4.7376,-1.5867,-5.9496,-1.5742,-3.4104,0.5753,-1.453,-2.774,1.3775,-2.2261,-3.0364,-4.1698,-3.1553,-4.4423,-4.0595,-3.0531,-2.0274,-2.9265,-3.4569,2.0391,-1.7051,-0.0506,-4.8478,1.4713,-2.9231,2.3501,-3.0938,0.3904,0.1661,-3.7094,-2.182,-0.8454,1.1646,0.4589,1.6911,2.9767,-5.5421,-2.8949,-0.4053,-0.3675,-2.8836,-2.0275,3.0966,-4.2388,0.035,1.8679,0.9989,-3.3617,0.9759,-2.996,-2.6539,-3.4559,0.3641,-1.6789,0.2753,-2.9618,-0.1971,-0.5285,-2.9927,-3.7717,3.4791,-0.5441,2.1894,-3.8995,0.5694,-0.0355,-3.1133,-4.1629,-5.4645,-4.2621,0.8558,1.1864,0.895,2.2143,-3.6414
DACH1,-2.531875,0.4995,-4.542125,-4.58625,-3.3455,0.76275,-1.111875,-5.343625,0.954875,2.89025,-2.694625,-0.174875,-3.889375,-3.89625,-3.94925,-1.75675,0.209375,2.05925,0.142,-5.46175,-4.05125,-0.887625,-5.12775,-3.458625,0.844625,1.450875,-4.7245,0.566125,1.92925,-0.527875,-4.162125,-4.427375,-4.67775,-4.4785,-1.1835,1.117375,1.330875,-3.258625,1.847375,1.48025,0.64375,0.897625,0.451,-3.527,0.83875,2.140125,1.24275,2.2455,-4.242625,-5.159375,-3.93325,1.800125,-3.001875,1.138625,-0.198125,-3.226125,0.026125,-1.263625,-4.5415,0.995375,2.29875,-6.488375,1.0635,1.16125,1.618875,-5.782375,-1.031,-5.097375,-3.91375,2.651625,-3.324625,1.8645,-4.655625,0.725,-3.838375,1.587125,1.09425,2.03525,-0.479,-0.267,-4.12125,-4.571375,-3.091375,-2.721125,-6.07925,-3.825,-0.488125,-3.650125,-1.80525,1.606,-1.8795,1.747375,-3.343375,-1.877875,-4.033875,-0.133125,-5.477125,0.8415,-1.13475,-4.098375,-2.968125,-1.829125,-0.83325,-2.346625,2.134,-1.321375,-0.80425,-2.812625,2.13925,-0.780875,1.38825,-1.4185,1.711125,-4.839,-0.088375,0.201,1.5155,-4.98225,0.161875,-2.180625,-4.573375,2.662125,2.759625,-2.964625,0.721875,-4.551875,0.885375,-0.897,-3.273375,-5.22775,0.712375,0.697375,-1.69975,-4.617875,-1.034375,0.698125,-1.303125,-3.345625,-4.117875,-5.675,0.812,0.542875,1.75075,0.000375,-4.870125
MUCL1,-0.189,-0.1745,-6.5745,-0.5485,1.5445,-0.0975,-2.4625,-6.3745,3.5385,1.219,-1.7515,3.743,-5.9165,-2.115,1.4055,2.3835,-0.019,3.292,-0.077,-5.1745,-3.533,-1.412,-2.327,-3.178,0.2455,-2.076,-0.681,2.3545,0.638,-6.28,-4.17,-2.3595,-4.5655,-6.166,0.3425,-1.6605,-2.1925,1.546,1.462,-0.886,1.0885,-2.6585,-0.207,-4.637,-5.371,1.6045,-1.791,-0.723,1.739,-3.6275,-4.539,-2.5625,-6.7475,-0.258,-2.231,-1.8245,-1.012,-2.701,-5.8345,3.6865,-4.5035,0.0915,-5.582,3.2545,0.259,2.4495,-1.211,-3.339,-1.997,-4.713,-5.5375,-4.86,-5.843,-0.831,-5.5875,1.567,-6.8995,1.617,-6.409,-1.2865,-0.2225,-0.498,-5.6055,1.171,-5.754,0.2065,-5.115,-0.2975,2.661,-3.146,-1.354,1.4505,-2.2265,-0.622,-6.0125,-0.434,-3.093,-0.726,-4.311,-5.178,-0.1655,0.1295,-1.5465,2.352,-3.2065,0.6935,3.0525,2.632,-2.2005,-0.4645,-0.1815,-2.6055,0.1075,-2.2545,1.3985,3.646,-1.323,1.0825,2.5845,0.0085,-4.1165,-0.305,0.9395,1.0155,-2.881,2.5215,2.3545,-3.376,1.923,-6.1405,0.858,1.052,2.517,-1.2445,-1.4475,-3.4445,-2.6415,1.3965,3.141,-4.106,0.965,1.3465,-3.3425,-2.75,0.676
ROPN1B,1.62625,-0.97575,5.31025,6.514,2.4545,0.6905,-1.48275,4.10425,-0.08525,-1.52775,-2.5565,-2.269,2.55475,7.446,5.4735,0.51825,0.04025,1.32425,-3.28175,6.2155,4.552,0.13025,6.429,6.55675,-1.9475,-2.16375,-1.59075,-1.5225,-1.612,1.1095,6.86325,5.30525,6.7685,0.88625,-0.06975,-0.1715,-0.72325,-0.46525,-1.07075,0.84675,-1.9385,-1.949,-0.3675,-1.5,-2.19975,-0.038,-2.346917,-2.205,0.73825,3.72775,-2.09775,-1.409,4.75075,-2.80625,6.7735,7.508,-1.647,-0.796,2.806,-1.9105,-1.07675,4.646,0.01675,0.844,-0.23175,6.1205,-3.29025,6.9105,5.689,-2.2335,5.987,-1.011,7.4935,0.034,4.49225,-1.17925,-1.0095,-0.8565,-0.86075,4.53675,3.58,2.91925,-1.70975,6.235,3.34325,6.3445,-0.66325,4.15925,6.67725,-0.206,-1.56325,1.23425,5.812,-2.341,2.483,-0.6305,4.97275,0.09025,-2.96725,6.2975,2.91325,-1.009,-2.55125,-1.08125,-0.0535,-0.631,2.1085,4.923,1.27775,-1.8545,-1.873583,5.07475,-1.91025,5.89925,1.69575,-0.98025,-1.443,2.92725,-1.90475,4.98725,5.80325,-2.0105,-1.92275,5.22075,-0.492,0.82075,-1.0515,0.03475,4.44,5.56575,-0.4665,-1.60125,-1.39925,6.5,-1.43775,0.75,-3.315,7.3105,5.7605,6.8505,-2.49625,-2.233,-3.33575,-1.38525,6.2085
AGR2,-7.264125,0.693375,-5.56425,-6.476,-3.905125,2.66925,1.074,-5.05525,1.323875,1.17025,-0.7425,0.399,-6.915625,-7.010125,-4.877625,0.012,0.47875,0.786875,0.96525,-6.317375,-4.281125,1.061625,-6.915375,-5.4105,-0.039875,1.87425,-2.913625,1.502,-0.33275,1.4385,-6.8675,-6.201625,-7.0535,-4.529125,1.42325,0.463375,-1.02225,1.01275,1.834875,0.69375,-0.304875,1.237625,0.71075,-0.452125,2.166625,0.321875,-1.346,-4.539875,1.16275,-5.076375,0.947125,1.525875,-3.249625,-1.12375,-6.69,-4.028125,-0.912625,0.790625,-5.699125,-0.632625,2.132625,-5.543875,0.908875,-0.61225,2.27275,-5.844375,1.23775,-6.63325,-5.405625,-0.268875,-5.31575,1.120875,-5.96075,-0.36125,-6.845125,-3.042625,-0.777125,0.859375,1.9885,-5.528625,-5.98675,-4.71725,-6.4485,-4.86725,-4.150875,-6.74,1.79325,-5.912625,-3.159625,0.202,1.58125,1.555125,-6.037125,-1.67075,-6.545375,1.457,-4.08325,0.4665,-1.964875,-4.527,-4.982875,0.0495,-0.123125,-1.1115,0.225,0.705,-4.742,-4.410125,1.010875,-1.3295,2.036875,-4.172125,0.921375,-6.3715,-0.522,1.136625,-0.785,-6.476875,1.199625,-6.64325,-5.029,2.2065,-4.516125,-3.763125,2.78,-1.392875,1.466625,0.925625,-5.3685,-6.373125,0.725375,0.65775,1.429625,-4.727125,1.0285,-0.744875,0.93575,-6.545625,-3.10925,-5.2395,0.51625,0.661,1.718125,1.51925,-4.606625
KLK6,1.7145,1.708167,-1.345333,3.136,-0.0895,-0.473667,-1.197167,5.272833,-0.086833,-0.546,-1.748833,-1.178667,2.2895,1.681667,3.458,0.860333,-0.6475,-0.244,-0.669333,5.135333,4.477333,-0.059,3.839833,4.968833,-0.359033,-2.122,-1.961667,-1.2255,-1.803667,-1.807433,0.339,3.133,3.887833,2.659833,-1.510167,0.125667,-1.266667,-1.5735,1.285667,-1.782,-1.957,-0.5175,-1.087167,-1.436333,-1.828,-0.0785,0.150833,-1.216,-0.485333,2.432667,-0.0765,-1.845333,-1.1195,-1.643,0.177167,4.749833,-1.0485,-0.761333,4.208667,0.552667,-1.119,5.320167,-0.4975,-0.101667,-0.240833,4.1085,-1.547833,5.484833,0.152667,-1.450333,4.885333,-0.3155,-0.587167,-0.386167,4.718333,-1.370167,-1.826667,-1.137333,-1.869667,4.72,2.362,5.151667,2.547667,5.711167,-0.849,5.7755,-1.457,4.463167,2.587,0.171167,-0.925167,-0.943333,3.4755,-1.2055,5.6995,1.0075,0.4235,0.1045,0.191833,-0.287833,4.4105,0.8925,-1.9055,-1.059833,-0.4835,-1.925833,5.534667,5.804667,-1.5775,-1.4385,-0.908333,6.5555,-1.891667,3.992167,0.5095,-0.769167,-1.152167,0.469167,0.361667,4.6425,-0.601333,-1.661,-0.996167,0.304167,-1.790667,1.451667,-0.759333,-0.909,2.541,3.8185,-0.399333,-1.131,-1.376,-1.380833,-1.274667,-1.212667,-1.965333,5.334,5.5265,5.644833,-0.369833,-0.682433,-1.726667,-1.264667,4.946167
MIA,-0.83175,-0.86575,3.81575,3.156,2.75425,0.01075,-1.5485,3.83525,-0.38575,-1.12875,-2.7735,-2.205,0.10875,-0.0665,3.5555,0.903,-0.15525,-0.0735,-1.71,3.59075,4.0825,0.169,4.08825,5.40075,-2.09375,-2.90175,-1.38,-1.97025,-2.22725,-2.03775,4.8255,1.85075,5.263,-1.14875,-2.03475,-1.1305,-2.40275,-0.83225,-0.54025,-1.60175,-2.8925,-0.81975,-1.28875,-1.93875,-1.99575,0.0695,-2.5035,-0.992,-2.61175,0.956,-2.085,-2.39675,0.56425,-2.65325,6.92925,5.68075,-1.403,-1.9295,4.79225,0.87675,-2.099,5.26625,0.0735,0.232,-0.829,6.9165,-2.95475,5.79325,4.40875,-2.0915,6.75925,-1.64375,7.30225,-1.451,5.634,-2.35075,-2.7745,-0.6795,-2.57575,6.03275,0.72175,2.5865,-0.56875,4.7375,1.027,4.731,-1.46875,0.682,6.29125,0.02825,-2.067,-0.99025,4.743,-2.2825,3.79125,0.128,4.36825,0.019,-1.7095,5.891,3.2015,-0.4995,-2.53675,-2.09675,0.34875,-2.551,-2.12775,5.26875,-1.92675,-0.99225,-2.37875,5.50825,-2.55575,5.7885,0.96625,-1.1645,-2.0955,2.82275,-0.51675,2.8495,4.593,-3.092,-1.60175,5.4465,-2.608,0.35175,-1.40725,-2.065,4.75475,4.7135,-0.42625,-1.9645,-1.488,4.6725,-1.96075,-2.13325,-2.54,5.16375,4.444,5.32,-0.499,-2.74875,-2.572,-2.478,6.163
PPP1R14C,3.413,1.0865,4.751,4.992,3.179667,-0.949667,-1.413,5.250333,-0.8865,-1.3205,-0.62,-1.916667,4.025167,1.240667,3.773333,-0.062833,-0.348667,-0.180167,-1.412333,5.805833,3.963667,0.172,3.895667,4.771833,-1.348667,-2.269833,-1.548333,-1.7425,-2.286333,-1.147,2.399833,5.4555,4.082833,3.697,-0.916667,-0.716333,-1.271,-2.041833,-0.094333,-0.775667,-1.830333,-0.720167,-0.958167,-1.967167,-1.511833,-0.398667,-1.901333,-0.5105,0.518667,3.219333,0.125333,-1.5145,4.691333,-1.823833,-0.904667,2.997833,-1.859,-1.193167,4.473333,1.000333,-1.661167,4.757167,-0.4665,-0.511,-1.8,3.939667,-0.4035,5.2955,3.7575,-1.590667,5.824167,-0.776333,2.570333,-1.119167,4.468833,-1.362667,-2.366,-1.255,-1.874667,3.452333,5.278167,3.871333,5.185,5.1205,2.826,5.686,-1.487167,4.119667,2.0285,0.026167,-1.428333,-1.057167,4.561333,-1.081167,1.924167,0.448167,4.684,-0.287333,-0.586,2.969333,3.9595,0.386333,-1.852,-2.125,-1.072667,-2.325167,4.024167,2.4545,-1.960167,-0.949833,-1.617833,4.074,-1.03,3.927833,0.3775,0.230333,-1.6915,3.531,-1.067,5.0145,4.444167,-2.760333,-1.5935,3.898333,-2.428,4.3255,-1.3475,-2.171167,3.945167,4.134833,-0.121833,-1.588333,-1.890833,4.792167,-0.827,-1.861333,-2.657167,6.218333,4.787333,-1.863,-1.117,-1.9895,-2.083333,-1.3805,1.154833
FSIP1,-3.472,-1.2525,-4.3945,-5.3935,-4.5985,3.531,0.394,-4.604,2.182,-1.641,-1.059,-0.0415,-4.0225,-4.3475,-4.514,0.7835,0.789,1.215,-0.5365,-5.3835,-2.6695,-4.108,-4.7225,-4.586,2.0405,-0.6115,-3.263,-1.06,1.325,2.282,-4.3105,-4.769,-4.7795,-4.716,2.066,1.659,0.6985,-1.595,0.7445,1.2525,1.3145,0.8895,1.6755,1.5715,-2.5515,0.3595,-1.0845,1.986,1.676,-5.1055,-5.342,2.089,-4.3005,0.4905,-5.3585,-3.2225,-3.502,2.6565,-4.51,0.5665,1.4435,-4.412,2.3805,-1.6215,3.7425,-4.243,1.8635,-3.9795,-4.089,0.6985,-4.5465,2.982,-4.7415,0.0865,-4.209,-0.785,1.6635,0.4435,2.918,-4.972,-4.871,-3.9685,-4.5565,-3.6155,-5.0625,-5.3625,0.3105,-4.024,-3.6185,1.433,-2.3375,1.758,-4.1275,-1.6675,-5.061,-0.9025,-5.5395,1.1655,-1.9825,-4.843,-4.554,-1.697,-1.3285,1.6785,2.2775,3.029,-3.5445,-4.2645,1.34,0.5045,2.4,-2.283,0.418,-5.001,-0.7405,-0.831,-0.4205,-5.0885,1.0245,-4.825,-3.403,3.334,2.2035,-3.695,-3.868,-2.9945,1.6395,0.1605,-3.5175,-4.6625,-2.6395,2.028,-2.2475,-4.0785,2.0815,-2.009,1.016,-4.831,-4.103,-5.914,1.637,2.01,1.474,-1.356,-4.6595
CEACAM6,-6.6247,6.3864,2.1235,-0.1329,-2.7836,2.6087,-0.9337,-6.6954,3.5358,2.4555,0.4812,3.4785,-1.4521,2.8421,-1.0026,0.2711,2.3039,3.3186,2.5261,-5.1562,-4.785,-4.1206,-1.0865,-0.6644,3.5139,0.6031,1.9215,-1.981,0.58,-5.4914,-4.7912,-6.0712,-2.8638,-3.5516,1.5274,0.3405,3.1868,1.3828,2.1377,1.4368,-0.4237,4.0091,3.4124,0.0832,-1.0227,-0.0704,-4.3472,3.6612,-2.3586,-3.6373,2.0929,2.1059,-7.378,4.1371,-0.8801,-3.6227,0.3885,2.0702,-2.7522,2.1311,-3.0362,0.904,4.6678,-2.6219,-2.5504,-6.199867,3.2817,-0.9235,-2.1879,-0.622,-5.5625,-3.7921,-6.1002,2.0301,-4.3175,-4.7478,-4.2373,2.2929,0.9652,-5.8074,-3.7843,-3.7086,-7.8196,-5.115978,-0.3872,-1.329,0.0272,-4.4561,-1.8444,0.3702,2.5569,-1.8275,-6.6484,-2.3442,-5.0749,-1.3805,-4.5907,-2.7429,-4.0891,-4.5788,-3.1308,-1.7474,-3.2896,0.9441,2.9381,-2.1425,-6.7129,-5.4358,2.3041,-0.4464,-2.2288,-3.0501,-0.0764,-1.6396,-1.753,1.7549,3.1619,2.8136,-1.4026,3.7538,-5.163,-3.8024,-2.4819,-3.2147,3.5066,4.2181,4.9994,1.3194,1.7127,-2.6124,3.7014,1.3092,3.4684,-5.1004,-1.3197,-3.3986,-3.5728,0.1213,0.9445,-4.602,-2.8181,-1.3897,3.6619,4.1356,-3.9376
GABRP,1.331167,-0.447667,3.260833,4.009167,3.765167,0.807167,-0.726,3.18,-0.51,-1.390333,-1.97,-2.149333,3.122,3.600833,3.704,1.637167,-0.254,0.359167,-1.310167,3.7925,0.277,-0.307,2.8345,4.207,0.342,-2.8865,-1.6491,-1.7085,-2.4465,-2.1365,3.149,2.976,3.855833,3.3275,-3.0115,-1.336167,-1.496333,-1.564167,-1.034333,-2.4065,-1.507833,-1.663667,-0.193167,-3.022167,-3.3935,0.440667,-1.327833,-0.505667,-2.8945,3.0405,-2.5255,-2.120833,2.608667,-2.6349,-0.814167,3.6005,-0.440833,-2.408,3.5385,-1.168833,-0.9615,3.7,0.675667,1.365667,-2.302,3.457667,-3.5117,3.339833,2.9055,-2.5555,3.242167,-0.1145,3.471667,-0.3785,3.0085,-2.566167,-2.2511,-0.274667,-0.455333,-2.167667,3.023833,2.956667,3.0255,3.480333,3.3025,3.218,-0.674833,3.325833,2.138833,2.697167,-2.081,-0.2865,3.337167,-2.029667,3.722833,0.3545,4.005833,0.580667,-2.116333,3.316833,2.035333,0.760833,-2.690167,0.075667,0.764333,-1.759833,2.568,3.625667,-2.495,-1.5445,-2.674667,2.435667,-3.051,3.522833,1.301833,-1.3925,-0.646333,3.167167,-1.864,3.4965,3.368333,-2.457667,-1.992,3.4945,-2.677,-1.5265,-0.239,-1.703333,2.828333,2.8485,0.476,-1.632167,-2.006,4.201,-2.7325,-1.708333,-2.5051,3.4955,3.516333,3.184667,-1.1515,-2.459333,-1.997333,-2.181167,2.785833
