"","0","1"
"ABL1",401,10
"ACVR1",406,5
"ACVR1B",408,3
"ACVR2A",408,3
"AJUBA",405,6
"AKT1",403,8
"ALB",401,10
"ALK",396,15
"AMER1",397,14
"APC",389,22
"APOB",374,37
"AR",405,6
"ARAF",408,3
"ARHGAP35",390,21
"ARID1A",336,75
"ARID2",382,29
"ARID5B",399,12
"ASXL1",388,23
"ASXL2",379,32
"ATF7IP",398,13
"ATM",358,53
"ATR",383,28
"ATRX",389,22
"ATXN3",404,7
"AXIN1",407,4
"AXIN2",399,12
"B2M",406,5
"BAP1",398,13
"BCL2",408,3
"BCL2L11",408,3
"BCOR",397,14
"BRAF",399,12
"BRCA1",395,16
"BRCA2",376,35
"BRD7",401,10
"BTG2",401,10
"CACNA1A",387,24
"CARD11",397,14
"CASP8",400,11
"CBFB",409,2
"CBWD3",410,1
"CCND1",404,7
"CD70",406,5
"CD79B",409,2
"CDH1",396,15
"CDK12",386,25
"CDK4",407,4
"CDKN1A",400,11
"CDKN1B",407,4
"CDKN2A",393,18
"CDKN2C",407,4
"CEBPA",408,3
"CHD3",393,18
"CHD4",382,29
"CHD8",392,19
"CHEK2",403,8
"CIC",396,15
"CNBD1",401,10
"COL5A1",393,18
"CREB3L3",403,8
"CREBBP",367,44
"CSDE1",402,9
"CTCF",395,16
"CTNNB1",398,13
"CTNND1",401,10
"CUL1",390,21
"CUL3",405,6
"CYLD",407,4
"CYSLTR2",407,4
"DACH1",400,11
"DAZAP1",407,4
"DDX3X",400,11
"DHX9",395,16
"DIAPH2",392,19
"DICER1",392,19
"DMD",373,38
"DNMT3A",396,15
"EEF1A1",402,9
"EEF2",398,13
"EGFR",397,14
"EGR3",406,5
"ELF3",375,36
"EP300",358,53
"EPAS1",399,12
"EPHA2",393,18
"EPHA3",388,23
"ERBB2",360,51
"ERBB3",363,48
"ERBB4",401,10
"ERCC2",368,43
"ESR1",405,6
"EZH2",402,9
"FAM46D",410,1
"FAT1",375,36
"FBXW7",373,38
"FGFR1",403,8
"FGFR2",399,12
"FGFR3",353,58
"FLNA",390,21
"FLT3",403,8
"FOXA1",401,10
"FOXA2",406,5
"FOXQ1",399,12
"FUBP1",406,5
"GABRA6",403,8
"GATA3",401,10
"GNA11",407,4
"GNA13",399,12
"GNAQ",408,3
"GNAS",395,16
"GPS2",401,10
"GRIN2D",395,16
"GTF2I",395,16
"H3F3A",406,5
"H3F3C",408,3
"HGF",398,13
"HIST1H1C",393,18
"HIST1H1E",406,5
"HLA-A",407,4
"HLA-B",405,6
"HRAS",392,19
"HUWE1",378,33
"IDH1",405,6
"IDH2",407,4
"IL6ST",406,5
"IL7R",403,8
"INPPL1",395,16
"IRF2",403,8
"IRF6",406,5
"JAK1",401,10
"JAK2",403,8
"JAK3",398,13
"KANSL1",391,20
"KDM5C",405,6
"KDM6A",339,72
"KEAP1",402,9
"KEL",402,9
"KIF1A",396,15
"KIT",400,11
"KLF5",395,16
"KMT2A",365,46
"KMT2B",392,19
"KMT2C",346,65
"KMT2D",322,89
"KRAS",394,17
"KRT222",404,7
"LATS1",397,14
"LATS2",406,5
"LEMD2",408,3
"LZTR1",401,10
"MACF1",336,75
"MAP2K1",409,2
"MAP2K4",407,4
"MAP3K1",400,11
"MAP3K4",395,16
"MAPK1",408,3
"MAX",410,1
"MECOM",392,19
"MED12",387,24
"MEN1",407,4
"MET",391,20
"MGA",385,26
"MGMT",409,2
"MLH1",401,10
"MSH2",398,13
"MSH3",404,7
"MSH6",400,11
"MTOR",393,18
"MUC6",397,14
"MYC",407,4
"MYCN",405,6
"MYD88",410,1
"MYH9",376,35
"NCOR1",379,32
"NF1",378,33
"NF2",400,11
"NFE2L2",385,26
"NIPBL",396,15
"NOTCH1",395,16
"NOTCH2",396,15
"NPM1",409,2
"NRAS",404,7
"NSD1",389,22
"NUP133",403,8
"NUP93",401,10
"PAX5",409,2
"PBRM1",392,19
"PCBP1",400,11
"PDGFRA",391,20
"PDS5B",397,14
"PGR",402,9
"PHF6",403,8
"PIK3CA",333,78
"PIK3CB",401,10
"PIK3CG",396,15
"PIK3R1",403,8
"PIK3R2",404,7
"PIM1",409,2
"PLCB4",402,9
"PLCG1",399,12
"PLXNB2",391,20
"PMS1",405,6
"PMS2",403,8
"POLE",388,23
"POLQ",385,26
"POLRMT",400,11
"PPM1D",407,4
"PPP2R1A",405,6
"PPP6C",407,4
"PRKAR1A",407,4
"PSIP1",393,18
"PTCH1",394,17
"PTEN",399,12
"PTPDC1",403,8
"PTPN11",408,3
"PTPRC",397,14
"PTPRD",381,30
"RAC1",407,4
"RAD21",396,15
"RAF1",406,5
"RARA",406,5
"RASA1",402,9
"RB1",357,54
"RBM10",394,17
"RET",401,10
"RFC1",403,8
"RHEB",409,2
"RHOA",393,18
"RHOB",386,25
"RIT1",410,1
"RNF111",396,15
"RNF43",406,5
"RPL22L1",410,1
"RPL5",407,4
"RPS6KA3",403,8
"RQCD1",410,1
"RRAS2",410,1
"RUNX1",401,10
"RXRA",385,26
"SCAF4",392,19
"SETBP1",399,12
"SETD2",384,27
"SF1",398,13
"SF3B1",392,19
"SIN3A",398,13
"SMAD2",405,6
"SMAD4",403,8
"SMARCA1",402,9
"SMARCA4",388,23
"SMARCB1",405,6
"SMC1A",394,17
"SMC3",403,8
"SOS1",392,19
"SOX17",407,4
"SOX9",402,9
"SPOP",404,7
"SPTA1",372,39
"SPTAN1",367,44
"SRSF2",404,7
"STAG2",367,44
"STK11",410,1
"TAF1",398,13
"TBL1XR1",403,8
"TBX3",400,11
"TCEB1",410,1
"TCF12",404,7
"TCF7L2",408,3
"TET2",401,10
"TGFBR2",406,5
"TGIF1",404,7
"THRAP3",400,11
"TLR4",403,8
"TMSB4X",410,1
"TNFAIP3",402,9
"TP53",238,173
"TRAF3",407,4
"TSC1",378,33
"TSC2",396,15
"TXNIP",396,15
"U2AF1L4",405,6
"UNCX",408,3
"USP9X",397,14
"VHL",409,2
"WHSC1",389,22
"WT1",405,6
"XPO1",403,8
"ZBTB20",404,7
"ZBTB7B",401,10
"ZC3H12A",400,11
"ZCCHC12",408,3
"ZFHX3",382,29
"ZFP36L1",393,18
"ZFP36L2",402,9
"ZMYM2",401,10
"ZMYM3",399,12
"ZNF133",402,9
"ZNF750",399,12
